#node_label	#score	#gender
105945403054619746508	1.0	2
101678365399729612162	1.0	1
117112573632301571399	1.0	1
117046588222662323028	1.0	2
113134124755005963558	1.0	1
116556796334476935943	1.0	1
107627148429849708122	1.0	1
114055975301837030490	1.0	2
105901396167246462687	1.0	1
107379521165668126253	1.0	1
114433289966752137772	1.0	2
106181093290648820722	1.0	1
114157104224723561801	1.0	1
105054428240373511007	1.0	1
110187337915848769989	1.0	1
111866652792296926727	1.0	1
114717985894144923663	1.0	3
113576254459165881930	1.0	1
114296386335285130355	1.0	1
113189405839831423440	1.0	1
106796351089137347922	1.0	1
105183752598571690998	1.0	2
100175922620194527589	1.0	1
100084811076765146668	1.0	2
100041313778307876396	1.0	1
106758328721513151232	1.0	1
112039173673911169165	1.0	1
107450396221833642745	1.0	1
102298217833891518806	1.0	2
104223609134701300452	1.0	2
117160073707825226090	1.0	1
111492506920423973405	1.0	1
108174407302028322803	1.0	1
106410976706699777663	1.0	1
112139970816210859282	1.0	1
106705003121085228194	1.0	1
110894833229824518525	1.0	1
102626900595487771147	1.0	1
113311951437178104592	1.0	1
111662928547058828382	1.0	2
104124076617349741506	1.0	1
103715968775653181310	1.0	1
110166176992790228617	1.0	1
100107167629439393664	1.0	1
117279191290627024061	1.0	1
104772598120446162623	1.0	2
114906652662274323490	1.0	2
111827697400991304845	1.0	1
114011865558758134360	1.0	2
110821034380487938496	1.0	2
106143457057723822325	1.0	1
102381705354160648394	1.0	2
104621011862230979465	1.0	1
110989768691460112903	1.0	1
116767691854695208383	1.0	1
115662844961343568966	1.0	2
115582826786435017151	1.0	2
113882487174459648118	1.0	1
109320655834103681208	1.0	1
110861583752683152773	1.0	1
116603795866200388293	1.0	1
114415896083548201291	1.0	1
113273347514851938983	1.0	1
112421948290604315190	1.0	1
109846283466561366020	1.0	2
104955342498206995216	0.5	1
106642392155331529607	0.5	1
101889975950768622316	0.25	1
116867737555028725618	0.25	1
104361939848148826153	0.25	1
