#node_label	#score	#gender
116123779949520467753	1.0	1
102101907751480804410	1.0	1
105285186477889454977	1.0	1
100255479358995396743	1.0	1
113446150012210291107	1.0	1
103202372320872894938	1.0	1
117475115751695635499	1.0	3
117617834204433046057	1.0	2
106918948555935283722	1.0	1
107842946915871817386	1.0	1
115748662504454470929	1.0	1
118085865046319783623	0.5	1
110097167949323324728	0.5	2
103612871313139094390	0.5	3
109047762367882768026	0.5	1
106960303605478777949	0.5	2
105046601759034760967	0.5	2
107573890432830917655	0.5	1
117671944032788817715	0.5	1
102645204215549659944	0.3333333333333333	3
103324921589846414494	0.3333333333333333	2
116470953347091968861	0.3333333333333333	2
114984746606063317366	0.3333333333333333	2
105192876803309967810	0.3333333333333333	2
108887810032537376918	0.3333333333333333	1
100782680967018791905	0.3333333333333333	2
118180215322878436749	0.3333333333333333	1
102854726264949312248	0.3333333333333333	2
117175342163110228846	0.3333333333333333	2
107820603199894517838	0.3333333333333333	2
102173349122411290580	0.3333333333333333	2
115640163017719554704	0.3333333333333333	2
110978655911351147631	0.25	1
109245117617769597472	0.25	2
112063946124358686266	0	1
114947477492725677113	0	1
100786264875843183236	0	1
106701345977976479103	0	1
109980033242634289885	0	1
106189723444098348646	0	1
107874114351340563166	0	2
108445301240335831943	0	2
113424222789153728067	0	1
116795161954909872149	0	1
109813896768294978296	0	1
106542726714965514632	0	2
109624334261877451255	0	1
107117483540235115863	0	1
109642407447455585167	0	1
104120283641952784543	0	1
109403088443255813835	0	1
108746617664332808938	0	1
